index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
117,Adventure Comedy Family Fantasy,https://www.warnerbros.com/charlie-and-chocolate-factory,118,london england father son relationship chocolate factory worker based on novel,en,53.905592,2005,Charlie and the Chocolate Factory,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
118,Animation Comedy Family Fantasy,http://disney.go.com/disneypictures/ratatouille/,2062,paris brother brother relationship expensive restaurant river cook,en,65.677399,2007,Ratatouille,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
119,Action Crime Drama,http://www2.warnerbros.com/batmanbegins/index.html,272,himalaya martial arts dc comics crime fighter secret identity,en,115.040024,2005,Batman Begins,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
120,Family Animation,http://www.madagascar-themovie.com,10527,africa jealousy dance hunger lion,en,44.141021,2008,Madagascar: Escape 2 Africa,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
121,Adventure Fantasy Action Comedy Family,http://www.nightatthemuseummovie.com,18360,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,en,81.781591,2009,Night at the Museum: Battle of the Smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
122,Adventure Action Thriller Science Fiction,http://www.x-menorigins.com/,2080,corruption mutant boxer army marvel comic,en,5.954334,2009,X-Men Origins: Wolverine,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
123,Adventure Action Thriller Science Fiction,,605,saving the world artificial intelligence man vs machine flying philosophy,en,73.313918,2003,The Matrix Revolutions,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
124,Animation Adventure Family,http://movies.disney.com/frozen,109445,queen musical princess betrayal snowman,en,165.125366,2013,Frozen,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
125,Adventure Action Thriller Science Fiction,,604,saving the world artificial intelligence man vs machine martial arts kung fu,en,70.78591,2003,The Matrix Reloaded,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
126,Action Adventure Fantasy,http://marvel.com/thor,76338,marvel comic superhero based on comic book hostile takeover norse mythology,en,99.499595,2013,Thor: The Dark World,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
127,Action Adventure Science Fiction Thriller,http://www.madmaxmovie.com/,76341,future chase post-apocalyptic dystopia australia,en,434.278564,2015,Mad Max: Fury Road,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
128,Thriller Mystery,http://www.angelsanddemons.com/,13448,rome vatican based on novel symbolism christian,en,67.447636,2009,Angels & Demons,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
129,Adventure Fantasy Action,http://thor.marvel.com/,10195,new mexico banishment shield marvel comic hammer,en,86.493424,2011,Thor,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
130,Animation Family Adventure Comedy,http://movies.disney.com/bolt,13053,hamster kids and family animal cat vs dog duringcreditsstinger,en,41.845878,2008,Bolt,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
131,Fantasy Action Adventure Family Comedy,http://disney.go.com/disneypictures/gforce/,19585,dyr duringcreditsstinger,en,26.710398,2009,G-Force,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
132,Adventure,http://www.wrathofthetitansmovie.org,57165,underworld hades mythology greek mythology zeus,en,44.927635,2012,Wrath of the Titans,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
133,Comedy Fantasy,http://darkshadowsmovie.warnerbros.com,62213,witch imprisonment vampire curse fish out of water,en,50.306728,2012,Dark Shadows,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
134,Action Adventure Thriller,http://www.missionimpossible.com,177677,london england spy austria villain sequel,en,114.522237,2015,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
135,Drama Horror Thriller,http://www.thewolfmanmovie.com/,7978,father son relationship victorian england remake rural setting werewolf,en,21.214571,2010,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
136,Family Animation Adventure Comedy,http://www.beemovie.com/,5559,factory worker tennis flower florist flower shop,en,29.332905,2007,Bee Movie,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
137,Animation Family,http://www.kungfupanda.com/,49444,martial arts hope fleet panda mission,en,51.247321,2011,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
138,Action Adventure Family Fantasy,http://www.thelastairbendermovie.com/,10196,fire ice war ship prince kingdom,en,33.769336,2010,The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
139,Adventure Action Thriller,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,63.079003,2006,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
140,Action Drama Thriller,,117251,usa president conspiracy secret service the white house,en,39.004588,2013,White House Down,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
141,Adventure Animation Family,http://disney.go.com/disneypictures/marsneedsmoms/#home,50321,boy alien rescue martian alien abduction,en,12.362599,2011,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
142,Adventure Animation Comedy Family,http://www.dreamworksanimation.com/flushed/,11619,london england underworld return ship frog,en,22.550135,2006,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
143,Adventure Family Fantasy,,266647,flying magic fairy tale peter pan mermaid,en,48.03528,2015,Pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
144,Animation Adventure Family,,82703,father son relationship egypt intelligence adoption time travel,en,38.73494,2014,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
145,Adventure Drama War,,652,brother brother relationship adultery mythology beauty trojan war,en,66.803149,2004,Troy,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
146,Animation Family,,80321,madagascar 3d,en,44.989192,2012,Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
147,Adventure Action Thriller,http://www.mgm.com/view/movie/232/Die-Another-Day/,36669,laser british secret service secret service agent space based weapon,en,54.159392,2002,Die Another Day,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
148,Action Fantasy Comedy,http://www.ghostbusters.com/,43074,female friendship ghost hunting reboot ghost,en,66.21806,2016,Ghostbusters,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
149,Action Thriller Science Fiction Adventure,,95,saving the world paris moon cataclysm asteroid,en,58.485967,1998,Armageddon,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
150,Action Adventure Comedy Science Fiction,http://www.sonypictures.com/homevideo/meninblackii/,608,saving the world secret identity sun glasses undercover space marine,en,91.332849,2002,Men in Black II,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
151,Adventure Action Animation,http://www.beowulfmovie.com/,2310,denmark nordic mythology lie pride and vanity folk hero,en,35.601665,2007,Beowulf,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
152,Action Adventure Animation Comedy Family,http://www.kungfupanda.com/,140300,china martial arts kung fu village panda,en,56.747978,2016,Kung Fu Panda 3,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
153,Action Thriller Adventure,http://www.missionimpossible.com/,56292,fight sequel mission explosion broken arm,en,77.77477,2011,Mission: Impossible - Ghost Protocol,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
154,Fantasy Animation Family,http://www.riseoftheguardians.com/,81188,dream santa claus nightmare easter bunny tooth fairy,en,61.788035,2012,Rise of the Guardians,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
155,Comedy,http://www.sonypictures.com/movies/funwithdickandjane/,7552,based on novel desperation robber hold-up robbery remake,en,25.159168,2005,Fun with Dick and Jane,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
156,Drama Action War History,,616,japan war crimes sense of guilt swordplay general,en,52.341226,2003,The Last Samurai,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
157,Adventure Drama Action,http://www.exodusgodsandkings.com/,147441,moses bible ancient egypt 3d ramses,en,101.599427,2014,Exodus: Gods and Kings,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
158,Science Fiction Action Adventure,,13475,spacecraft teleportation space mission parachute time travel,en,73.616808,2009,Star Trek,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams
159,Fantasy Action,http://www.sonypictures.com/movies/spider-man/,557,loss of lover spider thanksgiving bad boss hostility,en,82.502566,2002,Spider-Man,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
160,Fantasy Action Adventure Animation Comedy,http://www.howtotrainyourdragon.com/,82702,father son relationship wife husband relationship sacrifice viking sequel,en,100.21391,2014,How to Train Your Dragon 2,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois
161,Fantasy,,205584,egypt underworld fight mythology nile,en,56.257249,2016,Gods of Egypt,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas
162,Action,,10048,artificial intelligence u.s. navy aftercreditsstinger,en,17.88953,2005,Stealth,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
163,Action Mystery Science Fiction,https://www.warnerbros.com/watchmen,13183,dc comics secret identity mass murder retirement based on comic book,en,64.798873,2009,Watchmen,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder
164,Action Adventure Comedy Crime Thriller,,944,lapd house on fire revolver,en,24.855701,1998,Lethal Weapon 4,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner
165,Drama Action Science Fiction,,1927,california san francisco monster general gun,en,34.981698,2003,Hulk,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee
166,Adventure Action Science Fiction Thriller,http://www.gijoemovie.com,72559,terror assassin secret technology missile,en,59.325589,2013,G.I. Joe: Retaliation,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu
167,Action Adventure Comedy Drama Mystery,,7364,tyrant ironclad ship,en,21.605568,2005,Sahara,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
168,Adventure Action Animation Fantasy Science Fiction,,2114,battle assignment dystopia alien downfall scientist,en,26.074908,2001,Final Fantasy: The Spirits Within,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
169,Action Adventure Science Fiction,http://captainamerica.marvel.com/,1771,new york usa world war ii nazis marvel comic,en,74.506246,2011,Captain America: The First Avenger,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
170,Adventure Action Thriller,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,36643,british mission oil heiress bilbao spain,en,39.604363,1999,The World Is Not Enough,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
171,Adventure,http://www.masterandcommanderthefarsideoftheworld.com/,8619,naturalist frigate self surgery sea battle weevil,en,36.973031,2003,Master and Commander: The Far Side of the World,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir
172,Adventure Fantasy Drama Romance,,50620,vampire romance villainess super strength imprinting,en,99.687084,2012,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon
173,Animation Comedy Family,http://happyfeettwo.warnerbros.com/index.html,65759,penguin musical aftercreditsstinger 3d,en,17.7735,2011,Happy Feet Two,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller
174,Science Fiction Action Adventure,,1724,new york rio de janeiro marvel comic superhero based on comic book,en,62.898336,2008,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier
175,Adventure Family Fantasy,http://movies.disney.com/the-bfg,267935,london england england based on novel queen little girl,en,44.19092,2016,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
176,Western Drama Adventure Thriller,http://www.foxmovies.com/movies/the-revenant,281957,father son relationship rape based on novel mountains winter,en,100.635882,2015,The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
177,Animation Family,http://www.turbomovie.com/,77950,underdog car race dream speed power,en,44.765377,2013,Turbo,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren
178,Animation Comedy Family Western Adventure,http://www.rangomovie.com/,44896,sheriff nevada pet rango chameleon,en,29.91353,2011,Rango,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski
179,Family Animation Adventure Comedy,,270946,penguin madagascar 3d,en,84.366984,2014,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell
180,Action Drama Mystery Thriller,http://www.universalstudiosentertainment.com/the-bourne-ultimatum/,2503,paris corruption madrid assassin based on novel,en,45.381501,2007,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass
181,Adventure Animation Family Comedy,http://www.kungfupanda.com/,9502,china martial arts kung fu mentor snake,en,84.689648,2008,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne
182,Science Fiction Action Adventure,http://marvel.com/movies/movie/180/ant-man,102899,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,en,120.09361,2015,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed
183,Adventure Action Science Fiction,http://www.thehungergames.movie/,101299,competition based on novel mentor secret factory,en,76.310119,2013,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
184,Fantasy Comedy Animation Science Fiction Family,http://www.meettheboov.com/,228161,friendship spaceship space alien alien invasion,en,63.473086,2015,Home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson
185,Adventure Thriller Science Fiction,,74,post traumatic stress  disorder new jersey airplane dystopia daughter,en,48.572726,2005,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg
186,Adventure Action Comedy Thriller Crime,,8961,miami ku klux klan cuba undercover mexican standoff,en,38.068736,2003,Bad Boys II,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay
